number,value,datetime_start,datetime_complete,duration,params_batch_size,params_huber_delta,params_lr,params_lr_factor,params_lr_patience,params_max_grad_norm,params_sat_attn_dim,params_sat_conv1_channels,params_sat_conv2_channels,params_sat_feature_dim,params_sat_head_hidden_dim,params_sat_temporal_layers,params_sat_use_attention,params_weight_decay,state
24,0.01543848073141943,2026-02-03 16:47:48.644082,2026-02-03 17:13:26.681342,0 days 00:25:38.037260,64,0.10061454439263678,0.0012781937609296753,0.5846032429409196,7,4.628211392435512,16,64,32,64,16,2,False,0.00034130527692064985,COMPLETE
25,0.03161420830015627,2026-02-03 17:13:26.718020,2026-02-03 17:22:55.455954,0 days 00:09:28.737934,64,0.3064217328708002,0.0003218077043055376,0.6966488902606461,8,4.952630008665336,16,64,32,64,16,2,False,0.0002805076936137263,PRUNED
26,0.031012431877297696,2026-02-03 17:22:55.467956,2026-02-03 17:32:24.047450,0 days 00:09:28.579494,64,0.5641773154339982,0.003833329482685101,0.6013193148441277,6,3.7794801040062893,16,64,32,64,16,2,False,8.848851230686037e-05,PRUNED
27,0.030842447175540924,2026-02-03 17:32:24.062655,2026-02-03 17:42:09.166565,0 days 00:09:45.103910,64,0.2767205665983968,0.0014278910765408081,0.6620259339515014,8,4.502617679899554,16,64,32,64,16,2,False,0.00032514555276085536,PRUNED
28,0.020663655176999963,2026-02-03 17:42:09.188204,2026-02-03 17:54:06.551225,0 days 00:11:57.363021,64,0.5514492731504317,0.001083582093611938,0.5010135282692322,7,3.77851914229026,64,32,32,64,64,2,False,2.387619743176858e-05,COMPLETE
29,0.010937196654067114,2026-02-03 17:54:06.567793,2026-02-03 18:48:51.256222,0 days 00:54:44.688429,64,0.11220148539978296,0.008332702956786783,0.6596045666365351,4,2.9217005779093363,16,64,32,32,16,1,True,5.7151363481527905e-05,COMPLETE
30,0.01799609125180272,2026-02-03 18:48:51.297252,2026-02-03 19:04:45.844602,0 days 00:15:54.547350,64,0.2948773929269499,0.009355035589379758,0.6627653837619761,4,2.4689756568350094,16,32,32,32,64,1,True,6.428027594137915e-05,COMPLETE
31,0.02468762844384884,2026-02-03 19:04:45.856788,2026-02-03 19:21:06.969152,0 days 00:16:21.112364,32,0.6677822778330788,0.005035625671019158,0.6984029157713173,3,1.4401451406452184,16,64,128,32,64,1,True,5.265869388616023e-05,PRUNED
32,0.021698500998149357,2026-02-03 19:21:06.987189,2026-02-03 19:41:34.884386,0 days 00:20:27.897197,128,0.4595663962975364,0.0029826337064672867,0.618110993704994,4,2.914257252493557,64,32,64,32,16,3,True,1.9177761835503007e-05,PRUNED
33,0.022963741840357512,2026-02-03 19:41:34.903807,2026-02-03 19:46:20.480954,0 days 00:04:45.577147,32,0.91252423007322,0.009603188974713123,0.6547572717052871,5,3.228401414783241,16,16,64,32,32,1,True,0.00010886332783309053,PRUNED
