horizon_min,RMSE,MAE,MBE
10,63.410679617194084,46.99982609763075,14.941155351279352
20,56.69103946424042,43.08182479712164,-4.562751237956693
30,64.31222399787956,47.015847875796155,-0.5673946244056605
40,62.911020052786725,47.402443413849504,-12.154694677500663
50,67.80312001522957,52.23543898485201,-26.751058628753327
60,65.87821607913375,47.94143162901217,1.6655433395904697
