number,value,datetime_start,datetime_complete,duration,params_batch_size,params_ground_activation,params_ground_graph_layers,params_ground_hidden_size,params_ground_time_layers,params_ground_time_skip_connect,params_huber_delta,params_lr,params_lr_factor,params_lr_patience,params_max_grad_norm,params_weight_decay,state
24,0.018580532115550972,2026-02-03 17:31:25.536059,2026-02-03 17:36:31.061369,0 days 00:05:05.525310,64,selu,3,128,2,True,0.2741842267496455,0.0013312507571384949,0.33813170638782,9,2.408853879795487,4.821848779467566e-06,PRUNED
25,0.024160322808748302,2026-02-03 17:36:31.072243,2026-02-03 17:37:09.632331,0 days 00:00:38.560088,128,selu,2,16,2,True,0.6432222711191398,0.0004529547753595423,0.45014465036452483,6,4.602614091993535,2.0535536956925265e-06,PRUNED
26,0.020377625581618746,2026-02-03 17:37:09.650226,2026-02-03 17:44:23.727344,0 days 00:07:14.077118,64,selu,3,128,3,True,0.30343760066740283,0.00023761961427047428,0.40505168876555386,8,3.2966340518768007,2.5529645996725882e-05,PRUNED
27,0.025920653913360646,2026-02-03 17:44:23.736495,2026-02-03 17:48:53.774158,0 days 00:04:30.037663,64,selu,4,128,2,True,0.8489081032074692,0.004571759715664503,0.33116319831952534,7,1.6156212762182465,2.040818774431293e-06,PRUNED
28,0.01282084598810484,2026-02-03 17:48:53.783638,2026-02-03 18:00:05.846840,0 days 00:11:12.063202,32,relu,3,128,3,True,0.14317003375648177,0.0006574437145601033,0.3769004697173586,8,4.575181562575564,4.549743122196677e-06,PRUNED
29,0.022373026928072387,2026-02-03 18:00:05.856162,2026-02-03 18:06:59.675511,0 days 00:06:53.819349,128,elu,2,64,1,True,0.4334464816365215,0.00018957257773840634,0.5400887462459807,9,3.8929945948784317,1.229654005770068e-05,PRUNED
30,0.02116109232978118,2026-02-03 18:06:59.681328,2026-02-03 18:09:25.781543,0 days 00:02:26.100215,32,selu,4,128,1,True,0.2709930527450059,0.0014140737067176443,0.5127492272052792,6,3.159115319949877,6.31884904897522e-05,PRUNED
31,0.010953281198451268,2026-02-03 18:09:25.803778,2026-02-03 18:57:37.508514,0 days 00:48:11.704736,128,selu,3,128,3,True,0.13111282978129485,0.0034013672158179423,0.37241348424143045,7,3.7404408129683935,1.2159187411750412e-05,COMPLETE
32,0.02165629289383729,2026-02-03 18:57:37.525982,2026-02-03 19:02:23.155125,0 days 00:04:45.629143,128,selu,3,128,3,True,0.3575913918488961,0.004389902790633105,0.31921520527960645,7,4.4439145961631095,6.99675154899047e-06,PRUNED
33,0.01850184475533922,2026-02-03 19:02:23.164977,2026-02-03 19:05:16.758062,0 days 00:02:53.593085,128,selu,3,64,3,True,0.20628079231041307,0.000833431452865146,0.36577728231022016,9,3.5495644014704126,5.436571484006966e-06,PRUNED
34,0.02296415889212381,2026-02-03 19:05:16.766739,2026-02-03 19:11:38.213118,0 days 00:06:21.446379,128,gelu,3,128,2,False,0.4662402922287783,0.002089654441234416,0.42090746184371847,8,3.9570679853020083,1.8396149121481847e-05,PRUNED
35,0.021301009790238034,2026-02-03 19:11:38.226422,2026-02-03 19:16:16.130520,0 days 00:04:37.904098,128,selu,1,128,3,True,0.36656738000111283,0.00042637564756179937,0.323927753901344,7,2.7186798586178043,1.7350957780748718e-06,PRUNED
36,0.024388512509054026,2026-02-03 19:16:16.137810,2026-02-03 19:16:56.758725,0 days 00:00:40.620915,128,gelu,4,16,2,False,0.5848478704154931,0.0013626124040519317,0.3858436580204528,5,3.073565876871553,2.465524122869375e-06,PRUNED
37,0.017015138603312736,2026-02-03 19:16:56.772437,2026-02-03 19:23:01.721840,0 days 00:06:04.949403,32,selu,3,128,3,True,0.2045622692555215,0.0001609002997047556,0.3041944796288205,9,0.6610631902016233,9.669648070908002e-06,PRUNED
38,0.01188360708688804,2026-02-03 19:23:01.729541,2026-02-03 19:27:45.663030,0 days 00:04:43.933489,64,selu,4,64,1,False,0.11447996939815554,8.451479502433313e-05,0.3615308976645379,8,1.455272711401006,6.953487308078419e-06,PRUNED
39,0.02073626989042269,2026-02-03 19:27:45.676279,2026-02-03 19:30:59.768074,0 days 00:03:14.091795,128,elu,2,128,2,True,0.3801878456448307,0.002992122986985568,0.3266246067469793,6,4.364050019084409,3.519106796233286e-06,PRUNED
40,0.01850217301127169,2026-02-03 19:30:59.781391,2026-02-03 19:37:55.529354,0 days 00:06:55.747963,64,gelu,3,128,3,False,0.23131647746066414,0.005417373881928612,0.38760509114202074,7,4.674223496044272,9.048222527410287e-06,PRUNED
